Freq.	V(n001)
1.00000000000000e+00	9.99987003298885e-01,-6.28403792615443e-03
1.02329299228075e+00	9.99985142561700e-01,-6.43040000936996e-03
1.04712854805090e+00	9.99983194138095e-01,-6.58017044787406e-03
1.07151930523761e+00	9.99981153896251e-01,-6.73342857127515e-03
1.09647819614318e+00	9.99979017509694e-01,-6.89025555263048e-03
1.12201845430196e+00	9.99976780448121e-01,-7.05073445107277e-03
1.14815362149688e+00	9.99974437967812e-01,-7.21495025540713e-03
1.17489755493953e+00	9.99971985101567e-01,-7.38298992869990e-03
1.20226443461741e+00	9.99969416648193e-01,-7.55494245388086e-03
1.23026877081238e+00	9.99966727161481e-01,-7.73089888037795e-03
1.25892541179417e+00	9.99963910938668e-01,-7.91095237181248e-03
1.28824955169313e+00	9.99960962008363e-01,-8.09519825477044e-03
1.31825673855641e+00	9.99957874117893e-01,-8.28373406867690e-03
1.34896288259165e+00	9.99954640720065e-01,-8.47665961679740e-03
1.38038426460288e+00	9.99951254959302e-01,-8.67407701838599e-03
1.41253754462275e+00	9.99947709657119e-01,-8.87609076200866e-03
1.44543977074593e+00	9.99943997296934e-01,-9.08280776006268e-03
1.47910838816821e+00	9.99940110008142e-01,-9.29433740451837e-03
1.51356124843621e+00	9.99936039549463e-01,-9.51079162390942e-03
1.54881661891248e+00	9.99931777291489e-01,-9.73228494159299e-03
1.58489319246111e+00	9.99927314198425e-01,-9.95893453531187e-03
1.62181009735893e+00	9.99922640808961e-01,-1.01908602980770e-02
1.65958690743756e+00	9.99917747216250e-01,-1.04281849004048e-02
1.69824365246174e+00	9.99912623046950e-01,-1.06710338539283e-02
1.73780082874937e+00	9.99907257439271e-01,-1.09195355764149e-02
1.77827941003892e+00	9.99901639020003e-01,-1.11738214582143e-02
1.81970085860998e+00	9.99895755880455e-01,-1.14340259301669e-02
1.86208713666287e+00	9.99889595551270e-01,-1.17002865329967e-02
1.90546071796325e+00	9.99883144976061e-01,-1.19727439882199e-02
1.94984459975804e+00	9.99876390483800e-01,-1.22515422705960e-02
1.99526231496888e+00	9.99869317759920e-01,-1.25368286821491e-02
2.04173794466953e+00	9.99861911816059e-01,-1.28287539277877e-02
2.08929613085404e+00	9.99854156958388e-01,-1.31274721925505e-02
2.13796208950223e+00	9.99846036754442e-01,-1.34331412205114e-02
2.18776162394955e+00	9.99837533998419e-01,-1.37459223953637e-02
2.23872113856834e+00	9.99828630674826e-01,-1.40659808227175e-02
2.29086765276777e+00	9.99819307920440e-01,-1.43934854141400e-02
2.34422881531992e+00	9.99809545984490e-01,-1.47286089729571e-02
2.39883291901949e+00	9.99799324186951e-01,-1.50715282818597e-02
2.45470891568503e+00	9.99788620874918e-01,-1.54224241923237e-02
2.51188643150958e+00	9.99777413376913e-01,-1.57814817158857e-02
2.57039578276886e+00	9.99765677955069e-01,-1.61488901172934e-02
2.63026799189538e+00	9.99753389755068e-01,-1.65248430095567e-02
2.69153480392691e+00	9.99740522753751e-01,-1.69095384509300e-02
2.75422870333816e+00	9.99727049704269e-01,-1.73031790438418e-02
2.81838293126445e+00	9.99712942078679e-01,-1.77059720358034e-02
2.88403150312660e+00	9.99698170007857e-01,-1.81181294223148e-02
2.95120922666638e+00	9.99682702218609e-01,-1.85398680517898e-02
3.01995172040201e+00	9.99666505967846e-01,-1.89714097325212e-02
3.09029543251359e+00	9.99649546973693e-01,-1.94129813417057e-02
3.16227766016837e+00	9.99631789343390e-01,-1.98648149365436e-02
3.23593656929628e+00	9.99613195497830e-01,-2.03271478674289e-02
3.31131121482591e+00	9.99593726092586e-01,-2.08002228932472e-02
3.38844156139202e+00	9.99573339935270e-01,-2.12842882987856e-02
3.46736850452531e+00	9.99551993899042e-01,-2.17795980142721e-02
3.54813389233575e+00	9.99529642832113e-01,-2.22864117370401e-02
3.63078054770101e+00	9.99506239463031e-01,-2.28049950553331e-02
3.71535229097172e+00	9.99481734301585e-01,-2.33356195742393e-02
3.80189396320560e+00	9.99456075535114e-01,-2.38785630437609e-02
3.89045144994280e+00	9.99429208920010e-01,-2.44341094890023e-02
3.98107170553496e+00	9.99401077668203e-01,-2.50025493424753e-02
4.07380277804112e+00	9.99371622328390e-01,-2.55841795784991e-02
4.16869383470335e+00	9.99340780661791e-01,-2.61793038496741e-02
4.26579518801592e+00	9.99308487512156e-01,-2.67882326254067e-02
4.36515832240165e+00	9.99274674669789e-01,-2.74112833324512e-02
4.46683592150962e+00	9.99239270729306e-01,-2.80487804974279e-02
4.57088189614874e+00	9.99202200940844e-01,-2.87010558912777e-02
4.67735141287197e+00	9.99163387054445e-01,-2.93684486755935e-02
4.78630092322637e+00	9.99122747157286e-01,-3.00513055507740e-02
4.89778819368445e+00	9.99080195503453e-01,-3.07499809059261e-02
5.01187233627271e+00	9.99035642335923e-01,-3.14648369704369e-02
5.12861383991364e+00	9.98988993700409e-01,-3.21962439671278e-02
5.24807460249771e+00	9.98940151250712e-01,-3.29445802668912e-02
5.37031796370252e+00	9.98889012045186e-01,-3.37102325446947e-02
5.49540873857623e+00	9.98835468333971e-01,-3.44935959368290e-02
5.62341325190348e+00	9.98779407336535e-01,-3.52950741992626e-02
5.75439937337156e+00	9.98720711009149e-01,-3.61150798669487e-02
5.88843655355588e+00	9.98659255801832e-01,-3.69540344139129e-02
6.02559586074356e+00	9.98594912404320e-01,-3.78123684139382e-02
6.16595001861481e+00	9.98527545480593e-01,-3.86905217016412e-02
6.30957344480192e+00	9.98457013391455e-01,-3.95889435337135e-02
6.45654229034654e+00	9.98383167904680e-01,-4.05080927500820e-02
6.60693448007594e+00	9.98305853892176e-01,-4.14484379347242e-02
6.76082975391980e+00	9.98224909013641e-01,-4.24104575758371e-02
6.91830970918935e+00	9.98140163386132e-01,-4.33946402250439e-02
7.07945784384136e+00	9.98051439238962e-01,-4.44014846552951e-02
7.24435960074988e+00	9.97958550553338e-01,-4.54315000170761e-02
7.41310241300916e+00	9.97861302686084e-01,-4.64852059925200e-02
7.58577575029182e+00	9.97759491976835e-01,-4.75631329469778e-02
7.76247116628690e+00	9.97652905338007e-01,-4.86658220775601e-02
7.94328234724279e+00	9.97541319826881e-01,-4.97938255581371e-02
8.12830516164097e+00	9.97424502199070e-01,-5.09477066802275e-02
8.31763771102669e+00	9.97302208442649e-01,-5.21280399891657e-02
8.51138038202374e+00	9.97174183292212e-01,-5.33354114149024e-02
8.70963589956078e+00	9.97040159722055e-01,-5.45704183967131e-02
8.91250938133743e+00	9.96899858417723e-01,-5.58336700010686e-02
9.12010839355907e+00	9.96752987225106e-01,-5.71257870318306e-02
9.33254300796988e+00	9.96599240576239e-01,-5.84474021319075e-02
9.54992586021433e+00	9.96438298890994e-01,-5.97991598753994e-02
9.77237220955808e+00	9.96269827953762e-01,-6.11817168492282e-02
9.99999999999997e+00	9.96093478264287e-01,-6.25957417231524e-02
1.02329299228075e+01	9.95908884361739e-01,-6.40419153069913e-02
1.04712854805090e+01	9.95715664121128e-01,-6.55209305937990e-02
1.07151930523760e+01	9.95513418021157e-01,-6.70334927876395e-02
1.09647819614318e+01	9.95301728382587e-01,-6.85803193145193e-02
1.12201845430196e+01	9.95080158576194e-01,-7.01621398149344e-02
1.14815362149688e+01	9.94848252199400e-01,-7.17796961163731e-02
1.17489755493953e+01	9.94605532220659e-01,-7.34337421840147e-02
