Freq.	V(n001)
1.00000000000000e+00	9.99984414224309e-01,-6.28453872465654e-03
1.02329299228075e+00	9.99982553338262e-01,-6.43091247200728e-03
1.04712854805090e+00	9.99980604758780e-01,-6.58069484627037e-03
1.07151930523761e+00	9.99978564353714e-01,-6.73396518337655e-03
1.09647819614318e+00	9.99976427796242e-01,-6.89080466285179e-03
1.12201845430196e+00	9.99974190555702e-01,-7.05129635044799e-03
1.14815362149688e+00	9.99971847887990e-01,-7.21552524174349e-03
1.17489755493953e+00	9.99969394825512e-01,-7.38357830673495e-03
1.20226443461741e+00	9.99966826166658e-01,-7.55554453544313e-03
1.23026877081238e+00	9.99964136464783e-01,-7.73151498455238e-03
1.25892541179417e+00	9.99961320016668e-01,-7.91158282510845e-03
1.28824955169313e+00	9.99958370850444e-01,-8.09584339129361e-03
1.31825673855641e+00	9.99955282712939e-01,-8.28439423030685e-03
1.34896288259165e+00	9.99952049056435e-01,-8.47733515336671e-03
1.38038426460288e+00	9.99948663024805e-01,-8.67476828786589e-03
1.41253754462275e+00	9.99945117438994e-01,-8.87679813069727e-03
1.44543977074593e+00	9.99941404781814e-01,-9.08353160277769e-03
1.47910838816821e+00	9.99937517182033e-01,-9.29507810479598e-03
1.51356124843621e+00	9.99933446397711e-01,-9.51154957420511e-03
1.54881661891248e+00	9.99929183798751e-01,-9.73306054348902e-03
1.58489319246111e+00	9.99924720348633e-01,-9.95972819972855e-03
1.62181009735893e+00	9.99920046585290e-01,-1.01916724454898e-02
1.65958690743756e+00	9.99915152601085e-01,-1.04290159610643e-02
1.69824365246174e+00	9.99910028021844e-01,-1.06718842680877e-02
1.73780082874937e+00	9.99904661984909e-01,-1.09204057945612e-02
1.77827941003892e+00	9.99899043116159e-01,-1.11747119413054e-02
1.81970085860998e+00	9.99893159505952e-01,-1.14349371498735e-02
1.86208713666287e+00	9.99886998683933e-01,-1.17012189719503e-02
1.90546071796325e+00	9.99880547592668e-01,-1.19736981402666e-02
1.94984459975804e+00	9.99873792560038e-01,-1.22525186410558e-02
1.99526231496888e+00	9.99866719270331e-01,-1.25378277880800e-02
2.04173794466953e+00	9.99859312733984e-01,-1.28297762982575e-02
2.08929613085404e+00	9.99851557255913e-01,-1.31285183689148e-02
2.13796208950223e+00	9.99843436402341e-01,-1.34342117566967e-02
2.18776162394955e+00	9.99834932966086e-01,-1.37470178581566e-02
2.23872113856834e+00	9.99826028930214e-01,-1.40671017920624e-02
2.29086765276777e+00	9.99816705429997e-01,-1.43946324834416e-02
2.34422881531992e+00	9.99806942713078e-01,-1.47297827493917e-02
2.39883291901949e+00	9.99796720097782e-01,-1.50727293866907e-02
2.45470891568503e+00	9.99786015929471e-01,-1.54236532612273e-02
2.51188643150958e+00	9.99774807534852e-01,-1.57827393992809e-02
2.57039578276886e+00	9.99763071174158e-01,-1.61501770806820e-02
2.63026799189538e+00	9.99750781991086e-01,-1.65261599338698e-02
2.69153480392691e+00	9.99737913960393e-01,-1.69108860328815e-02
2.75422870333816e+00	9.99724439833050e-01,-1.73045579962909e-02
2.81838293126445e+00	9.99710331078834e-01,-1.77073830881247e-02
2.88403150312660e+00	9.99695557826228e-01,-1.81195733207764e-02
2.95120922666638e+00	9.99680088799538e-01,-1.85413455599405e-02
3.01995172040201e+00	9.99663891253056e-01,-1.89729216315850e-02
3.09029543251359e+00	9.99646930902165e-01,-1.94145284309866e-02
3.16227766016837e+00	9.99629171851232e-01,-1.98663980338367e-02
3.23593656929628e+00	9.99610576518144e-01,-2.03287678094443e-02
3.31131121482591e+00	9.99591105555327e-01,-2.08018805360387e-02
3.38844156139202e+00	9.99570717767096e-01,-2.12859845181936e-02
3.46736850452531e+00	9.99549370023164e-01,-2.17813337063701e-02
3.54813389233575e+00	9.99527017168127e-01,-2.22881878185974e-02
3.63078054770101e+00	9.99503611926751e-01,-2.28068124642816e-02
3.71535229097172e+00	9.99479104804869e-01,-2.33374792701547e-02
3.80189396320560e+00	9.99453443985673e-01,-2.38804660083504e-02
3.89045144994280e+00	9.99426575221216e-01,-2.44360567266062e-02
3.98107170553496e+00	9.99398441718884e-01,-2.50045418805775e-02
4.07380277804112e+00	9.99368984022620e-01,-2.55862184682470e-02
4.16869383470335e+00	9.99338139888663e-01,-2.61813901664107e-02
4.26579518801592e+00	9.99305844155551e-01,-2.67903674692151e-02
4.36515832240165e+00	9.99272028608133e-01,-2.74134678287067e-02
4.46683592150962e+00	9.99236621835310e-01,-2.80510157973658e-02
4.57088189614874e+00	9.99199549081241e-01,-2.87033431725684e-02
4.67735141287197e+00	9.99160732089707e-01,-2.93707891429326e-02
4.78630092322637e+00	9.99120088941333e-01,-3.00537004364821e-02
4.89778819368445e+00	9.99077533883346e-01,-3.07524314705614e-02
5.01187233627271e+00	9.99032977151542e-01,-3.14673445034190e-02
5.12861383991364e+00	9.98986324784119e-01,-3.21988097873759e-02
5.24807460249771e+00	9.98937478427008e-01,-3.29472057234714e-02
5.37031796370252e+00	9.98886335130330e-01,-3.37129190174818e-02
5.49540873857623e+00	9.98832787135605e-01,-3.44963448371813e-02
5.62341325190348e+00	9.98776721653279e-01,-3.52978869707072e-02
5.75439937337156e+00	9.98718020630180e-01,-3.61179579858808e-02
5.88843655355588e+00	9.98656560506443e-01,-3.69569793903083e-02
6.02559586074356e+00	9.98592211961461e-01,-3.78153817920771e-02
6.16595001861481e+00	9.98524839648386e-01,-3.86936050608457e-02
6.30957344480192e+00	9.98454301916693e-01,-3.95920984890976e-02
6.45654229034654e+00	9.98380450522298e-01,-4.05113209533153e-02
6.60693448007594e+00	9.98303130324699e-01,-4.14517410748076e-02
6.76082975391980e+00	9.98222178970609e-01,-4.24138373798892e-02
6.91830970918935e+00	9.98137426563493e-01,-4.33980984591056e-02
7.07945784384136e+00	9.98048695318447e-01,-4.44050231251395e-02
7.24435960074988e+00	9.97955799201795e-01,-4.54351205690374e-02
7.41310241300916e+00	9.97858543554792e-01,-4.64889105143302e-02
7.58577575029182e+00	9.97756724700781e-01,-4.75669233686163e-02
7.76247116628690e+00	9.97650129535136e-01,-4.86697003721173e-02
7.94328234724279e+00	9.97538535097301e-01,-4.97977937426868e-02
8.12830516164097e+00	9.97421708124232e-01,-5.09517668167106e-02
8.31763771102669e+00	9.97299404584488e-01,-5.21321941852880e-02
8.51138038202374e+00	9.97171369192242e-01,-5.33396618250369e-02
8.70963589956078e+00	9.97037334900431e-01,-5.45747672228176e-02
8.91250938133743e+00	9.96897022372260e-01,-5.58381194936090e-02
9.12010839355907e+00	9.96750139430248e-01,-5.71303394907164e-02
9.33254300796988e+00	9.96596380481991e-01,-5.84520599074312e-02
9.54992586021433e+00	9.96435425921797e-01,-5.98039253691838e-02
9.77237220955808e+00	9.96266941507325e-01,-6.11865925151838e-02
9.99999999999997e+00	9.96090577710364e-01,-6.26007300684374e-02
1.02329299228075e+01	9.95905969040853e-01,-6.40470188929738e-02
1.04712854805090e+01	9.95712733343239e-01,-6.55261520370263e-02
1.07151930523760e+01	9.95510471064271e-01,-6.70388347608077e-02
1.09647819614318e+01	9.95298764491302e-01,-6.85857845474448e-02
1.12201845430196e+01	9.95077176960186e-01,-7.01677310955219e-02
1.14815362149688e+01	9.94845252031845e-01,-7.17854162915832e-02
1.17489755493953e+01	9.94602512636576e-01,-7.34395941608278e-02
1.20226443461741e+01	9.94348460185210e-01,-7.51310307941107e-02
1.23026877081238e+01	9.94082573646194e-01,-7.68605042492455e-02
1.25892541179416e+01	9.93804308587738e-01,-7.86288044244544e-02
1.28824955169313e+01	9.93513096184150e-01,-8.04367329016890e-02
1.31825673855640e+01	9.93208342185543e-01,-8.22851027573852e-02
1.34896288259165e+01	9.92889425850114e-01,-8.41747383380684e-02
1.38038426460288e+01	9.92555698838256e-01,-8.61064749980489e-02
1.41253754462275e+01	9.92206484067800e-01,-8.80811587962977e-02
1.44543977074592e+01	9.91841074529785e-01,-9.00996461493902e-02
1.47910838816820e+01	9.91458732064185e-01,-9.21628034372338e-02
1.51356124843620e+01	9.91058686095140e-01,-9.42715065580905e-02
1.54881661891248e+01	9.90640132325347e-01,-9.64266404292093e-02
1.58489319246111e+01	9.90202231389343e-01,-9.86290984291643e-02
1.62181009735892e+01	9.89744107465610e-01,-1.00879781777773e-01
1.65958690743755e+01	9.89264846847510e-01,-1.03179598849252e-01
1.69824365246174e+01	9.88763496473297e-01,-1.05529464414019e-01
1.73780082874937e+01	9.88239062415596e-01,-1.07930298804311e-01
1.77827941003892e+01	9.87690508330970e-01,-1.10383026998542e-01
1.81970085860998e+01	9.87116753870459e-01,-1.12888577619072e-01
1.86208713666286e+01	9.86516673052192e-01,-1.15447881837780e-01
1.90546071796324e+01	9.85889092597521e-01,-1.18061872183603e-01
1.94984459975804e+01	9.85232790232409e-01,-1.20731481245895e-01
1.99526231496887e+01	9.84546492956208e-01,-1.23457640267238e-01
2.04173794466952e+01	9.83828875280314e-01,-1.26241277619007e-01
2.08929613085403e+01	9.83078557439663e-01,-1.29083317152821e-01
2.13796208950222e+01	9.82294103580475e-01,-1.31984676420639e-01
2.18776162394954e+01	9.81474019928208e-01,-1.34946264756093e-01
2.23872113856833e+01	9.80616752940207e-01,-1.37968981209385e-01
2.29086765276776e+01	9.79720687448208e-01,-1.41053712327818e-01
2.34422881531991e+01	9.78784144796466e-01,-1.44201329773866e-01
2.39883291901948e+01	9.77805380982035e-01,-1.47412687772469e-01
2.45470891568502e+01	9.76782584804521e-01,-1.50688620379084e-01
2.51188643150957e+01	9.75713876033412e-01,-1.54029938559931e-01
2.57039578276885e+01	9.74597303602077e-01,-1.57437427075704e-01
2.63026799189537e+01	9.73430843838404e-01,-1.60911841160082e-01
2.69153480392690e+01	9.72212398743157e-01,-1.64453902984291e-01
2.75422870333815e+01	9.70939794328184e-01,-1.68064297899081e-01
2.81838293126444e+01	9.69610779027788e-01,-1.71743670445663e-01
2.88403150312659e+01	9.68223022197830e-01,-1.75492620127263e-01
2.95120922666637e+01	9.66774112718410e-01,-1.79311696933399e-01
3.01995172040200e+01	9.65261557717351e-01,-1.83201396609297e-01
3.09029543251358e+01	9.63682781433176e-01,-1.87162155663438e-01
3.16227766016837e+01	9.62035124237714e-01,-1.91194346106867e-01
3.23593656929627e+01	9.60315841840069e-01,-1.95298269918717e-01
3.31131121482590e+01	9.58522104695261e-01,-1.99474153233304e-01
3.38844156139201e+01	9.56650997642520e-01,-2.03722140245318e-01
3.46736850452530e+01	9.54699519799851e-01,-2.08042286830917e-01
